# r [cMpc/h] : <T(r)>
0.246   0.275	0.393
0.782   0.429	0.499
1.306   0.485	0.527
1.779   0.602	0.628
2.330   0.597	0.624
2.775   0.575 	0.604
3.268   0.607	0.632
3.805   0.645 	0.658
4.297   0.676	0.686
4.785   0.673	0.688
5.289   0.656	0.672
5.796   0.673	0.686
6.296   0.683	0.694
6.777   0.668	0.678
7.295   0.687	0.704
7.804   0.672	0.682
8.292   0.669	0.680
8.796   0.653	0.664
9.312   0.662 	0.678
9.801   0.670	0.682
10.304   0.693	0.708
10.802   0.687	0.704
11.312   0.681	0.692
11.823   0.683	0.694
12.329   0.648	0.660
12.822   0.682	0.688
13.305   0.683	0.694
13.843   0.683 	0.690
14.353   0.679	0.690
14.840   0.668	0.682
15.330   0.686	0.694
15.887   0.661	0.676

